Index;File;Vert min;Vert max;X min;X max (vert);Y min;Y max;Rot angle x;Rot angle y;Dummy;Resc min;Resc max;Net z min;Net z max
0;4A;7;857;55;965;57;967;0.3;-0.5;0;2000;19000;170;710
-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
1;4Btest;70;1070;55;965;53;963;0;0;0;2000;19000;110;940
2;5A;155;1155;95;995;110;1010;0.15;-0.15;0;-999;-999;100;950
3;3B;128;1128;93;993;94;994;0.15;-0.2;0;-999;-999;50;950
4;5B;155;1155;106;1006;111;1011;0.15;0;0;-999;-999;200;950
5;1B;130;1130;93;993;115;1015;0.15;-0.3;0;-999;-999;120;970
6;2B;134;1134;116;1016;124;1024;-0.45;0;0;-999;-999;220;970
7;3A;135;1135;114;1014;96;996;0;-0.45;0;-999;-999;140;940
8;6A;135;1135;110;1010;112;1012;0.35;-0.45;0;-999;-999;130;970
9;7Awrong;154;1104;112;1012;110;1010;-0.5;0;0;-999;-999;200;920
10;8A;137;1137;112;1012;126;1026;0.15;0;0;-999;-999;200;970
11;4Anew;134;1134;92;992;106;1006;-0.3;-0.3;0;-999;-999;328;868
12;7A;125;1125;114;1014;114;1014;0;0;0;-999;-999;160;970
13;1A;140;1140;122;1022;120;1020;0.15;-0.2;0;-999;-999;110;970
14;2A;138;1138;116;1016;111;1011;0;-0.2;0;-999;-999;110;970
15;6B;145;1145;123;1023;103;1003;0;-0.15;0;-999;-999;130;970
16;7B;140;1140;107;1007;123;1023;0;-0.3;0;-999;-999;100;960
17;8B;140;1140;115;1015;103;1003;0;-0.2;0;-999;-999;70;930
18;4B;70;1070;58;958;60;960;0;0;0;-999;-999;110;940
